Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,"Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)","Otto Wagner",6210,"(Austrian, 1841–1918)",(Austrian),(1841),(1918),(male),1896,"Ink and cut-and-pasted painted pages on paper","19 1/8 x 66 1/2" (48.6 x 168.9 cm)","Fractional and promised gift of Jo Carole and Ronald S. Lauder",885.1996,Architecture,"Architecture & Design",1996-04-09,yes,2,https://www.moma.org/collection/works/2,https://www.moma.org/media/W1siZiIsIjUyNzc3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=712ac0fd74ea5bd5,NULL,NULL,NULL,NULL,48.60,NULL,NULL,168.90,NULL,NULL
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard","Christian de Portzamparc",7470,"(French, born 1944)",(French),(1944),NULL,(male),1987,"Paint and colored pencil on print","16 x 11 3/4" (40.6 x 29.8 cm)","Gift of the architect in honor of Lily Auchincloss",1.1995,Architecture,"Architecture & Design",1995-01-17,yes,3,https://www.moma.org/collection/works/3,https://www.moma.org/media/W1siZiIsIjUyNzM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a2898fe0f088f196,NULL,NULL,NULL,NULL,40.64,NULL,NULL,29.85,NULL,NULL
"Villa project, outside Vienna, Austria (Elevation)","Emil Hoppe",7605,"(Austrian, 1876–1957)",(Austrian),(1876),(1957),(male),1903,"Graphite, pen, color pencil, ink, and gouache on tracing paper","13 1/2 x 12 1/2" (34.3 x 31.8 cm)","Gift of Jo Carole and Ronald S. Lauder",1.1997,Architecture,"Architecture & Design",1997-01-15,yes,4,https://www.moma.org/collection/works/4,https://www.moma.org/media/W1siZiIsIjUyNzM3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=baf3b82af676ad45,NULL,NULL,NULL,NULL,34.30,NULL,NULL,31.80,NULL,NULL
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 1: The Park","Bernard Tschumi",7056,"(French and Swiss, born Switzerland 1944)",NULL,(1944),NULL,(male),1980,"Photographic reproduction with colored synthetic laminate","20 x 20" (50.8 x 50.8 cm)","Purchase and partial gift of the architect in honor of Lily Auchincloss",2.1995,Architecture,"Architecture & Design",1995-01-17,yes,5,https://www.moma.org/collection/works/5,https://www.moma.org/media/W1siZiIsIjUyNzQ3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6295e6698e3871fd,NULL,NULL,NULL,NULL,50.80,NULL,NULL,50.80,NULL,NULL
"Villa project, outside Vienna, Austria (Exterior perspective)","Emil Hoppe",7605,"(Austrian, 1876–1957)",(Austrian),(1876),(1957),(male),1903,"Graphite, color pencil, ink, and gouache on tracing paper","15 1/8 x 7 1/2" (38.4 x 19.1 cm)","Gift of Jo Carole and Ronald S. Lauder",2.1997,Architecture,"Architecture & Design",1997-01-15,yes,6,https://www.moma.org/collection/works/6,https://www.moma.org/media/W1siZiIsIjUyNzQ3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=96e3ccab203afa0d,NULL,NULL,NULL,NULL,38.40,NULL,NULL,19.10,NULL,NULL
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park","Bernard Tschumi",7056,"(French and Swiss, born Switzerland 1944)",NULL,(1944),NULL,(male),1976-77,"Gelatin silver photograph","14 x 18" (35.6 x 45.7 cm)","Purchase and partial gift of the architect in honor of Lily Auchincloss",3.1995.1,Architecture,"Architecture & Design",1995-01-17,yes,7,https://www.moma.org/collection/works/7,https://www.moma.org/media/W1siZiIsIjUyNzUyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d172aa966e03ed80,NULL,NULL,NULL,NULL,35.60,NULL,NULL,45.70,NULL,NULL
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park","Bernard Tschumi",7056,"(French and Swiss, born Switzerland 1944)",NULL,(1944),NULL,(male),1976-77,"Gelatin silver photographs","Each: 14 x 18" (35.6 x 45.7 cm)","Purchase and partial gift of the architect in honor of Lily Auchincloss",3.1995.1-24,Architecture,"Architecture & Design",1995-01-17,yes,8,https://www.moma.org/collection/works/8,https://www.moma.org/media/W1siZiIsIjUyNzUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bb83636021a3bb91,NULL,NULL,NULL,NULL,35.60,NULL,NULL,45.70,NULL,NULL
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park","Bernard Tschumi",7056,"(French and Swiss, born Switzerland 1944)",NULL,(1944),NULL,(male),1976-77,"Gelatin silver photograph","14 x 18" (35.6 x 45.7 cm)","Purchase and partial gift of the architect in honor of Lily Auchincloss",3.1995.10,Architecture,"Architecture & Design",1995-01-17,yes,9,https://www.moma.org/collection/works/9,NULL,NULL,NULL,NULL,NULL,35.60,NULL,NULL,45.70,NULL,NULL
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park","Bernard Tschumi",7056,"(French and Swiss, born Switzerland 1944)",NULL,(1944),NULL,(male),1976-77,"Gelatin silver photograph","14 x 18" (35.6 x 45.7 cm)","Purchase and partial gift of the architect in honor of Lily Auchincloss",3.1995.11,Architecture,"Architecture & Design",1995-01-17,yes,10,https://www.moma.org/collection/works/10,https://www.moma.org/media/W1siZiIsIjUyNzUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fd6cca6e5eaa12d8,NULL,NULL,NULL,NULL,35.60,NULL,NULL,45.70,NULL,NULL
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park","Bernard Tschumi",7056,"(French and Swiss, born Switzerland 1944)",NULL,(1944),NULL,(male),1976-77,"Gelatin silver photograph","14 x 18" (35.6 x 45.7 cm)","Purchase and partial gift of the architect in honor of Lily Auchincloss",3.1995.12,Architecture,"Architecture & Design",1995-01-17,yes,11,https://www.moma.org/collection/works/11,https://www.moma.org/media/W1siZiIsIjUyNzUyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=02884d507ae8037a,NULL,NULL,NULL,NULL,35.60,NULL,NULL,45.70,NULL,NULL
