ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate
11,"Jean (Hans) Arp","French, born Germany (Alsace). 1886–1966",French,male,1886,1966
19,"Richard Artschwager","American, 1923–2013",American,male,1923,2013
34,"Alvar Aalto","Finnish, 1898–1976",Finnish,male,1898,1976
38,"Magdalena Abakanowicz","Polish, 1930–2017",Polish,female,1930,2017
60,"Ansel Adams","American, 1902–1984",American,male,1902,1984
94,"Munira Al-Kazi","Kuwaiti, born 1939",Kuwaiti,female,1939,NULL
140,"Jim Amaral","American, born 1933",American,male,1933,NULL
144,"Woody van Amen","Dutch, born 1936",Dutch,male,1936,NULL
153,"Emma Amos","American, 1937–2020",American,female,1937,2020
159,"Gunnar Aagaard Andersen","Danish, 1919–1982",Danish,male,1919,1982
208,"Diane Arbus","American, 1923–1971",American,female,1923,1971
229,"Eugène Atget","French, 1857–1927",French,male,1857,1927
256,"Alice Aycock","American, born 1946",American,female,1946,NULL
271,"Olof Backstrom","Finnish, 1922 – 1998",Finnish,male,1922,1998
272,"Francis Bacon","British, born Ireland. 1909–1992",British,male,1909,1992
281,"Jo Baer","American, born 1929",American,female,1929,NULL
287,"Malcolm Bailey","American, 1947–2011",American,male,1947,2011
311,"Giacomo Balla","Italian, 1871–1958",Italian,male,1871,1958
402,"Thomas Bayrle","German, born 1937",German,male,1937,NULL
409,"Lester Beall","American, 1903–1969",American,male,1903,1969
412,"Romare Bearden","American, 1911–1988",American,male,1911,1988
429,"Max Beckmann","German, 1884–1950",German,male,1884,1950
450,"Rudolf Belling","German, 1886–1972",German,male,1886,1972
452,"Hans Bellmer","German, 1902–1975",German,male,1902,1975
471,"Lynda Benglis","American, born 1941",American,female,1941,NULL
534,"Forrest Bess","American, 1911–1977",American,male,1911,1977
556,"Aenne Biermann","German, 1898–1933",German,female,1898,1933
561,"Ilse Bing","American, born Germany. 1899–1998",American,female,1899,1998
617,"Peter Blume","American, 1906–1992",American,male,1906,1992
624,"Umberto Boccioni","Italian, 1882–1916",Italian,male,1882,1916
665,"Pierre Bonnard","French, 1867–1947",French,male,1867,1947
670,"Lee Bontecou","American, 1931–2022",American,female,1931,2022
710,"Louise Bourgeois","American, born France. 1911–2010",American,female,1911,2010
719,"Frank Bowling","British, born British Guiana (now Guyana) 1934",British,male,1934,NULL
738,"Constantin Brâncuși","Romanian and French, born Romania. 1876–1957",French,male,1876,1957
740,"Bill Brandt","British, born Germany. 1904–1983",British,male,1904,1983
744,"Georges Braque","French, 1882–1963",French,male,1882,1963
745,"Brassaï (Gyula Halász)","French, born Brassó. 1899–1984",French,male,1899,1984
869,"Max Burchartz","German, 1887–1961",German,male,1887,1961
870,"Charles Burchfield","American, 1893–1967",American,male,1893,1967
884,"Alberto Burri","Italian, 1915–1995",Italian,male,1915,1995
924,"Harry Callahan","American, 1912–1999",American,male,1912,1999
926,"Mary Callery","American, 1903–1977",American,female,1903,1977
993,"Leonora Carrington","British, 1917–2011",British,female,1917,2011
1000,"Henri Cartier-Bresson","French, 1908–2004",French,male,1908,2004
1016,"Mary Cassatt","American, 1844–1926",American,female,1844,1926
1031,"Rosemarie Castoro","American, 1939–2015",American,female,1939,2015
1053,"Paul Cézanne","French, 1839–1906",French,male,1839,1906
1055,"Marc Chagall","French, born Belarus. 1887–1985",French,male,1887,1985
1060,"John Chamberlain","American, 1927–2011",American,male,1927,2011
1074,"Jean Charlot","American, born France. 1898–1979",American,male,1898,1979
1099,"Judy Chicago","American, born 1937",American,female,1937,NULL
1106,"Giorgio de Chirico","Italian, born Greece. 1888–1978",Italian,male,1888,1978
1182,"Glenn O. Coleman","American, 1887–1932",American,male,1887,1932
1183,"Robert Colescott","American, 1925–2009",American,male,1925,2009
1214,"Will Connell","American, 1898–1961",American,male,1898,1961
1215,"Bruce Conner","American, 1933–2008",American,male,1933,2008
1243,"Lovis Corinth","German, 1858–1925",German,male,1858,1925
1247,"Joseph Cornell","American, 1903–1972",American,male,1903,1972
1249,"Corning Glass Works, Corning, NY","est. 1851",American,NULL,1851,NULL
1300,"Robert Creeley","American, 1926–2005",American,male,1926,2005
1330,"Robert Cumming","American, 1943–2021",American,male,1943,2021
1332,"Imogen Cunningham","American, 1883–1976",American,female,1883,1976
1364,"Salvador Dalí","Spanish, 1904–1989",Spanish,male,1904,1989
1391,"Sandu Darie","Cuban, born Romania. 1908–1991",Cuban,male,1908,1991
1402,"Arthur B. Davies","American, 1862–1928",American,male,1862,1928
