ObjectID,Title,ConstituentID,Date,Medium,Dimensions,Classification,Department,DateAcquired,URL,ImageURL,OnView
257,"Simulated Dwelling for a Family of Five Project",2864,1970,"Fiberglass, polyester resin, metal, paper, plastic and synthetic polymer paint","28 x 34 3/8 x 34 3/8" (71.1 x 87.3 x 87.3 cm)",Architecture,"Architecture & Design",1973-05-08,https://www.moma.org/collection/works/257,https://www.moma.org/media/W1siZiIsIjIyODY1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0f4261daac246e9b,"MoMA, Floor 4, 417"
775,"Concrete Office Building Project, Berlin, Germany (Exterior perspective)",7166,1923,"Charcoal and crayon on paper","54 1/2 x 113 3/4" (138.4 x 288.9 cm)","Mies van der Rohe Archive","Architecture & Design",1968-03-07,https://www.moma.org/collection/works/775,https://www.moma.org/media/W1siZiIsIjQwMDE2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=110180447018c67d,"MoMA, Floor 5, 511"
941,"Furniture Manufacturers Association Headquarters, project, High Wycombe, England, Side elevation",7987,1957-58,"Graphite and ink on tracing paper mounted on board","23 1/2 x 32" (59.7 x 81.3 cm)",Architecture,"Architecture & Design",1998-11-12,https://www.moma.org/collection/works/941,https://www.moma.org/media/W1siZiIsIjUzMDIyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2964904217fe93e6,"MoMA, Floor 4, 417"
1007,"Column Cover for the German Pavilion, International Exposition, Barcelona, Spain",7166,1928-29,"Chrome-plated steel","118 1/2 x 6 1/2 x 6 1/2" (301 x 16.5 x 16.5 cm)",Architecture,"Architecture & Design",1986-10-07,https://www.moma.org/collection/works/1007,https://www.moma.org/media/W1siZiIsIjIxMDkyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f09f4ba416d3a81e,"MoMA, Floor 5, 511"
1008,"Column Cover for the Tugendhat House, Brno, Czechoslovakia",7166,1928-30,"Chrome-plated steel","120 x 7 1/2 x 7 1/2" (304.8 x 19.1 x 19.1 cm)",Architecture,"Architecture & Design",1986-10-07,NULL,NULL,"MoMA, Floor 5, 511"
1512,"Carna Folding Wheelchair",7440,1989,"Titanium, rubber, and aluminum honeycomb","33 x 22 x 35 1/4" (83.8 x 55.9 x 89.5 cm)",Design,"Architecture & Design",1995-01-17,https://www.moma.org/collection/works/1512,https://www.moma.org/media/W1siZiIsIjIxMDAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3b7076d407aab09b,"MoMA, Floor 4, 417"
1621,"Mind Expander / Flyhead Helmet","8412, 8413, 7561, 8414, 7562",1968,"Plastic, metal, electronic components, self-adhesive tapes, and paint","12 7/8 x 15 3/4 x 11 1/2" (32.7 x 40 x 29.2 cm)",Design,"Architecture & Design",2000-01-19,https://www.moma.org/collection/works/1621,https://www.moma.org/media/W1siZiIsIjQyMDk5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e47c3b5df9258394,"MoMA, Floor 4, 417"
1825,"Juicy Salif Lemon Squeezer",8418,1988,"P.T.F.E.-treated pressure cast aluminum and polyamide","11 1/2 x 5" (29.2 x 12.7 cm)",Design,"Architecture & Design",2000-01-19,https://www.moma.org/collection/works/1825,https://www.moma.org/media/W1siZiIsIjIxMDExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1b9d4471735839d3,"MoMA, Floor 1, 1 South"
1911,"Max-2 Stacking Cups",6155,1970,Plastic,"Each: 2 3/4 x 6 1/4 x 7 1/2" (7 x 15.9 x 19.1 cm)",Design,"Architecture & Design",1972-04-11,https://www.moma.org/collection/works/1911,https://www.moma.org/media/W1siZiIsIjIxMDE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bd4f4bc76f2d531e,"MoMA, Floor 1, 1 South"
1964,"Tilt-Back Side Chair","1671, 1672","c. 1944","Molded plywood, metal rod, rubber shockmounts, and rubber glides","25 3/4 x 20 x 29" (65.4 x 50.8 x 73.7 cm)",Design,"Architecture & Design",1946-05-07,https://www.moma.org/collection/works/1964,https://www.moma.org/media/W1siZiIsIjIyNjM3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=16733e2d84824824,"MoMA, Floor 1, 1 South"
